ID,SET_REVIEW_APPROVE_GANG__C,MAILING_CONFIRMED_DATE__C,MAILING_CONFIRMED_STATUS__C
a02d0000007FsdQAAS,11/19/12,11/19/12,Confirmed
a02d0000007FsiWAAS,11/16/12,11/16/12,Confirmed
a02d0000006sB4kAAE,9/27/12,9/27/12,Confirmed
a02d0000005WerMAAS,8/30/12,8/30/12,Confirmed
a02d0000005WeiDAAS,7/27/12,7/27/12,Confirmed
a02d0000005WeiOAAS,10/11/12,10/11/12,Confirmed
a02d0000007DVGxAAO,10/25/12,10/25/12,Confirmed
a02d0000007DV9DAAW,10/19/12,10/19/12,Confirmed
a02d0000007g3xVAAQ,11/30/12,11/30/12,Confirmed
a02d0000007g3uWAAQ,11/20/12,11/20/12,Confirmed
a02d0000007FsmQAAS,11/1/12,11/1/12,Confirmed
a02d0000007FsbvAAC,11/2/12,11/2/12,Confirmed
a02d0000006sB9aAAE,9/28/12,9/28/12,Confirmed
a02d0000007DJr8AAG,10/18/12,10/18/12,Confirmed
a02d0000005WerCAAS,6/27/12,6/27/12,Confirmed
a02d0000007g3xLAAQ,11/30/12,11/30/12,Confirmed
a02d0000007g3xGAAQ,11/30/12,11/30/12,Confirmed
a02d0000007DdKHAA0,11/19/12,11/19/12,Confirmed
a02d0000007DdK7AAK,11/19/12,11/19/12,Confirmed
a02d0000005WerHAAS,8/3/12,8/3/12,Confirmed
a02d0000005WerWAAS,7/20/12,7/20/12,Confirmed
a02d0000007eU5lAAE,11/19/12,11/19/12,Confirmed
a02d0000007DeZkAAK,11/19/12,11/19/12,Confirmed
a02d0000007DfaSAAS,11/15/12,11/15/12,Confirmed
a02d0000007DfahAAC,11/15/12,11/15/12,Confirmed
a02d0000007DfaoAAC,11/19/12,11/19/12,Confirmed
a02d0000007DfOrAAK,11/1/12,11/1/12,Confirmed
a02d0000007DfcxAAC,11/19/12,11/19/12,Confirmed
a02d0000007Dfc9AAC,11/15/12,11/15/12,Confirmed
a02d0000007Dfd2AAC,11/15/12,11/15/12,Confirmed
a02d0000007DfXUAA0,11/15/12,11/15/12,Confirmed
a02d0000007DfcJAAS,11/16/12,11/16/12,Confirmed
a02d0000007DfOwAAK,11/29/12,11/29/12,Confirmed
a02d0000007DfbGAAS,11/15/12,11/15/12,Confirmed
a02d0000007DfceAAC,11/15/12,11/15/12,Confirmed
a02d0000007DfcOAAS,11/16/12,11/16/12,Confirmed
a02d0000007DfdHAAS,11/15/12,11/15/12,Confirmed
a02d0000007DfUrAAK,11/1/12,11/1/12,Confirmed
a02d0000007DfcsAAC,11/15/12,11/15/12,Confirmed
a02d0000007DfdRAAS,11/15/12,11/15/12,Confirmed
a02d0000007DfbpAAC,11/15/12,11/15/12,Confirmed
